"type","name","slug","region","placeholder_file","real_photo_file_page","real_photo_direct_url","license","attribution","shows","notes"
"Lake","Gull Lake","gull-lake","Brainerd Lakes","Placeholders/lake-gull-lake.svg","https://commons.wikimedia.org/wiki/File:The_island_in_East_Gull_Lake,_Minnesota.jpg","https://upload.wikimedia.org/wikipedia/commons/9/93/The_island_in_East_Gull_Lake%2C_Minnesota.jpg","CC BY 4.0","James Postema, CC BY 4.0, via Wikimedia Commons","Wooded island and open water, East Gull Lake (Cass County)",""
"Lake","Leech Lake","leech-lake","Northern Lakes","Placeholders/lake-leech-lake.svg","https://commons.wikimedia.org/wiki/File:Leech_Lake_-_Walker,_Minnesota_(28652808757).jpg","https://upload.wikimedia.org/wikipedia/commons/f/f0/Leech_Lake_-_Walker%2C_Minnesota_%2828652808757%29.jpg","CC BY-SA 2.0","Tony Webster, CC BY-SA 2.0, via Wikimedia Commons","Walker Bay on Leech Lake from Walker City Park",""
"Lake","Mille Lacs Lake","mille-lacs-lake","Central Lakes","Placeholders/lake-mille-lacs-lake.svg","https://commons.wikimedia.org/wiki/File:A_beautiful,_scenic_sunset_on_Mille_Lacs_Lake,_Minnesota_(28982171863).jpg","https://upload.wikimedia.org/wikipedia/commons/e/e1/A_beautiful%2C_scenic_sunset_on_Mille_Lacs_Lake%2C_Minnesota_%2828982171863%29.jpg","CC BY 2.0","Tony Webster, CC BY 2.0, via Wikimedia Commons","Sunset over Mille Lacs Lake, Father Hennepin State Park",""
"Lake","Lake Vermilion","lake-vermilion","Iron Range / Arrowhead","Placeholders/lake-lake-vermilion.svg","https://commons.wikimedia.org/wiki/File:Everett_Bay_-_Lake_Vermilion,_Minnesota_(36766022173).jpg","https://upload.wikimedia.org/wikipedia/commons/5/54/Everett_Bay_-_Lake_Vermilion%2C_Minnesota_%2836766022173%29.jpg","CC BY-SA 2.0","Tony Webster, CC BY-SA 2.0, via Wikimedia Commons","Everett Bay shoreline, Lake Vermilion near Tower",""
"Lake","Lake of the Woods","lake-of-the-woods","Border Waters","Placeholders/lake-lake-of-the-woods.svg","https://commons.wikimedia.org/wiki/File:Lake_of_the_Woods_Beach_at_Zippel_Bay_State_Park,_Minnesota_(38845944862).jpg","https://upload.wikimedia.org/wikipedia/commons/3/34/Lake_of_the_Woods_Beach_at_Zippel_Bay_State_Park%2C_Minnesota_%2838845944862%29.jpg","CC BY 2.0","Tony Webster, CC BY 2.0, via Wikimedia Commons","Beach and shoreline, Lake of the Woods, Zippel Bay State Park",""
"Lake","Pelican Lake","pelican-lake","Lakes Country","Placeholders/lake-pelican-lake.svg","https://commons.wikimedia.org/wiki/File:Pelican_Lake,_Minnesota_July_3,_2022.jpg","https://upload.wikimedia.org/wikipedia/commons/9/98/Pelican_Lake%2C_Minnesota_July_3%2C_2022.jpg","CC BY-SA 4.0","Richard N Horne, CC BY-SA 4.0, via Wikimedia Commons","Sailboats on Pelican Lake","HEADS UP: this is Pelican Lake in OTTER TAIL County, not the Crow Wing/Breezy Point lake. No free photo of the Crow Wing one was found. Confirm which Pelican Lake your page means."
"Lake","Cass Lake","cass-lake","Northern Lakes","Placeholders/lake-cass-lake.svg","https://commons.wikimedia.org/wiki/File:South_Pike_Bay.jpg","https://upload.wikimedia.org/wikipedia/commons/6/67/South_Pike_Bay.jpg","CC BY-SA 4.0","McGhiever, CC BY-SA 4.0, via Wikimedia Commons","South Pike Bay, Cass Lake, Chippewa National Forest",""
"Lake","White Bear Lake","white-bear-lake","Twin Cities Metro","Placeholders/lake-white-bear-lake.svg","https://commons.wikimedia.org/wiki/File:Matoska_Park_-_White_Bear_Lake,_Minnesota_(30670681208).jpg","https://upload.wikimedia.org/wikipedia/commons/6/64/Matoska_Park_-_White_Bear_Lake%2C_Minnesota_%2830670681208%29.jpg","CC BY 2.0","Tony Webster, CC BY 2.0, via Wikimedia Commons","White Bear Lake from Matoska Park (Ramsey County)","White Bear Lake exists as both a lake and a town - this is the LAKE."
"Lake Town","Brainerd","brainerd","Brainerd Lakes","Placeholders/town-brainerd.svg","https://commons.wikimedia.org/wiki/File:Laurel_District.JPG","https://upload.wikimedia.org/wikipedia/commons/e/e0/Laurel_District.JPG","CC BY-SA 3.0","Jjmusgrove, CC BY-SA 3.0, via Wikimedia Commons","Historic Laurel District, downtown Brainerd",""
"Lake Town","Baxter","baxter","Brainerd Lakes","Placeholders/town-baxter.svg","https://commons.wikimedia.org/wiki/File:Minnesota_Fishing_Hall_of_Fame.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c4/Minnesota_Fishing_Hall_of_Fame.jpg","CC BY-SA 4.0","McGhiever, CC BY-SA 4.0, via Wikimedia Commons","Minnesota Fishing Hall of Fame building, Baxter",""
